,Title,Published_date,views,likes,comments,Month
0,Tricky SQL Interview Query | Practice Solving SQL Interview Queries,2022-09-22,13198,442,60,Sep
1,"Solving SQL Interview Query using a ""VERY IMPORTANT SQL concept""",2022-09-19,17874,689,73,Sep
2,Solving SQL Interview Query | SQL Problem by Service based company,2022-09-16,12974,523,54,Sep
3,Practice SQL Interview Query | Big 4 Interview Question,2022-09-12,23984,1049,99,Sep
4,Solving SQL Interview Query | Ungroup given input data | FAANG Interview Query,2022-09-08,13945,427,57,Sep
5,How to remove Duplicate Data in SQL | SQL Query to remove duplicate,2022-09-02,40728,1373,98,Sep
6,Solving Complex SQL Query from HackerRank | SQL Interview Query,2022-08-10,33797,1003,117,Aug
7,Data Analyst vs Business Analyst | What should you choose?,2022-07-26,10934,474,85,Jul
8,Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07,15435,544,112,Jul
9,Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28,17016,492,181,Jun
10,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21,13235,414,45,Jun
11,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17,11831,441,75,Jun
12,REAL SQL Interview Question | Complex SQL Interview Query and Solution,2022-06-03,44116,1125,101,Jun
13,Top 10 Tips for JOB Interview | Tips for Job Interview,2022-05-25,9116,382,43,May
14,Solving SQL Query | Rows to Column in SQL,2022-05-18,51922,1457,116,May
15,Procedure Tutorial in SQL | SQL Stored Procedure | Procedure in SQL,2022-05-01,56332,1319,116,May
16,my Live SQL Course Announcement #shorts,2022-04-05,8293,377,68,Apr
17,Best Online SQL Course to practically learn and practice SQL,2022-03-30,22887,492,116,Mar
18,Recursive SQL Queries Tutorial | Learn to write SQL Queries using Recursion,2022-03-23,54411,1537,177,Mar
19,Solving SQL Interview Queries | Tricky SQL Interview Queries,2022-03-16,101382,2615,320,Mar
20,How to learn SQL | Step by Step Guide on how to learn SQL,2022-03-02,85083,2995,318,Mar
21,ANSI vs Non ANSI Joins in SQL | SQL Query Writing using ANSI and Non ANSI method,2022-02-23,21172,511,82,Feb
22,SQL Views Tutorial | VIEWS in SQL Complete Tutorial,2022-02-15,81874,1750,262,Feb
23,Practice Writing SQL Queries on StrataScratch | How to Solve SQL Queries,2022-02-08,104206,2441,172,Feb
24,Subquery in SQL | Correlated Subquery + Complete SQL Subqueries Tutorial,2022-02-01,355806,8339,677,Feb
25,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 2,2022-01-14,82424,2910,355,Jan
26,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 1,2022-01-06,212172,5988,619,Jan
27,How to get your 1st DATA ANALYST Job | Data Analyst Job | How to become a Data Analyst,2021-12-29,260312,9740,958,Dec
28,BEST Online Courses to Learn SQL and Practice SQL Queries | BEST SQL Courses,2021-12-22,36047,1007,132,Dec
29,REAL SQL Interview Question by a FAANG company | SQL Interview Query and Solution,2021-12-08,187944,4093,277,Dec
30,Top 25 SQL Interview Questions and Answers(The BEST SQL Interview Questions),2021-12-01,304723,10985,409,Dec
31,Practice SQL Interview Questions on LeetCode | Solve SQL Interview Questions (Practice SQL Queries),2021-11-18,51468,1499,113,Nov
32,"Thank you for 10,000 Subscribers | Answering some of your questions",2021-11-06,1687,96,83,Nov
33,Practice Writing SQL Queries using Real Dataset(Practice Complex SQL Queries),2021-10-28,76842,2444,239,Oct
34,Python Project to Scrape YouTube using YouTube Data API | Analyze and Visualize YouTube data,2021-10-13,35476,1255,151,Oct
35,Practice Complex SQL Queries | SQL Query to fetch N consecutive records,2021-09-28,48152,1703,158,Sep
36,ANACONDA Tutorial for Python | How to Install Anaconda on Mac OS and How to use Anaconda for Python,2021-09-21,33143,623,68,Sep
37,Connect to PostgreSQL from Python (Using SQL in Python) | Python to PostgreSQL,2021-09-13,48209,1276,87,Sep
38,SQL WITH Clause | How to write SQL Queries using WITH Clause | SQL CTE (Common Table Expression),2021-09-05,211665,5293,455,Sep
39,STEP by STEP guide to Learn Python | How to learn PYTHON,2021-08-29,5688,320,47,Aug
40,Learn how to write SQL Queries(Practice Complex SQL Queries),2021-08-22,859818,20404,875,Aug
41,"SQL Window Function | How to write SQL Query using Frame Clause, CUME_DIST | SQL Queries Tutorial",2021-08-13,122365,4772,408,Aug
42,Learn how to use GitHub for Beginners | GitHub Tutorial,2021-08-06,33665,976,56,Aug
